"","gene","logFC","p"
"2","Rv0569",5.61231287038328,1.11263873671092e-10
"1","Rv0570",4.37496887147775,1.11263873671092e-10
"67","Rv0571c",3.04093637615861,8.99219856959413e-09
"126","Rv0572c",3.2366692884606,4.19251043899002e-08
"1595","Rv0573c",1.34302723579982,0.000337174182271087
"47","Rv0574c",3.17104193728789,4.81752402906917e-09
"89","Rv0575c",-3.48042390377578,1.41951778750606e-08
"2476","Rv0577",-0.282283203882381,0.0122531119364649
"588","Rv0578c",0.971365194905673,2.8204009510677e-06
"749","Rv0579",1.0331352890243,7.35578275016775e-06
"347","Rv0580c",1.4559892032166,6.07468281005112e-07
"2165","Rv0582",-0.601367285108939,0.00346484145565197
"1156","Rv0583c",0.875593905145327,4.60090559199962e-05
"2727","Rv0585c",0.283031937755811,0.0326212009362291
"2657","Rv0587",0.203284754912281,0.0245867678110508
"2587","Rv0591",-0.750104856815035,0.0187735889508809
"2784","Rv0593",-0.519668982745868,0.0453066868971616
"1418","Rv0598c",-0.628504386447426,0.000143403437937716
"2421","Rv0604",0.372047590798536,0.0100085831595532
"1967","Rv0610c",-0.459242563366274,0.00154122857895214
"1425","Rv0613c",-0.402888247613788,0.000148537623349742
"1989","Rv0614",-1.47018652863291,0.00171248348408546
"1516","Rv0616A",-0.833412077462528,0.000224467198477575
"1641","Rv0617",-0.494896691868847,0.000380908472828567
"902","Rv0618",-1.01310310102257,1.55003255270307e-05
"1769","Rv0621",0.519324041905858,0.000661028934633824
"1914","Rv0622",0.791242177771064,0.00120850671908937
"1174","Rv0623",0.970861259179676,4.99193053940112e-05
"928","Rv0624",1.18645683697967,1.70469946435935e-05
"2569","Rv0625c",0.304181835296549,0.017591521822302
"1858","Rv0626",-0.562882548759885,0.000969705280080596
"1620","Rv0627",-0.584276426269034,0.000358626514542064
"2241","Rv0628c",0.309545156935683,0.00448343483518068
"1289","Rv0631c",-0.805410145240546,8.78423041498868e-05
"2097","Rv0632c",0.326047834809183,0.00269215843765053
"523","Rv0633c",-1.27121732501582,1.98595515254269e-06
"2512","Rv0634B",-0.398684849980154,0.0139436783264775
"622","Rv0635",-0.960077406314613,3.4484289358512e-06
"1617","Rv0636",-0.419533004799137,0.000358626514542064
"548","Rv0637",-0.85562082579578,2.38308592018859e-06
"1355","Rv0638",-0.491927330177129,0.000114913478968027
"1616","Rv0639",-0.376090098228911,0.000358190130053337
"359","Rv0641",-0.850456180386365,6.52694354361772e-07
"2253","Rv0643c",-0.276741680640082,0.00470010489797699
"784","Rv0646c",-0.851033883093814,8.67222528272563e-06
"921","Rv0647c",-0.638425514164919,1.67202354370082e-05
"1126","Rv0648",1.35307108436789,4.04380197627652e-05
"852","Rv0651",-0.597042387107586,1.28241395035085e-05
"2178","Rv0652",0.459142591648079,0.00352231871856784
"213","Rv0655",1.16291525608843,1.88323735778831e-07
"508","Rv0658c",-1.30105198426972,1.74268940940683e-06
"1977","Rv0659c",-0.426437634788771,0.00163744196053127
"1511","Rv0660c",-0.648172132924818,0.000220662290977227
"1888","Rv0663",-0.386616475825648,0.00108284889955584
"1342","Rv0665",-1.8161844705435,0.000110319526323196
"2293","Rv0666",-1.49284203893494,0.00551736443213959
"1373","Rv0667",-0.502355548143596,0.000124659271339337
"2384","Rv0668",-0.267548908839913,0.00886293969249734
"374","Rv0669c",-1.30313508063357,7.23840054182288e-07
"906","Rv0672",-0.834010433311057,1.59675995289737e-05
"2478","Rv0673",-0.375475089829798,0.0122852115293794
"1702","Rv0674",-0.866465662382903,0.000484980267798271
"2721","Rv0675",-0.385210808562171,0.0319061658241006
"21","Rv0676c",4.28176116854255,1.05183844717248e-09
"18","Rv0677c",5.00440255515569,8.76089365526299e-10
"28","Rv0678",5.5557611058353,1.84891811501841e-09
"2645","Rv0679c",0.305662081843567,0.0232636141125108
"688","Rv0680c",1.14957205768662,4.95859584601789e-06
"2486","Rv0681",-0.238657502742023,0.0125454293417717
"2518","Rv0682",0.55311394989273,0.0143668052559142
"1147","Rv0684",-0.615044708997658,4.33901190797553e-05
"1206","Rv0685",-0.499812523453631,5.73175660676222e-05
"208","Rv0686",1.32119472783816,1.77784055549225e-07
"871","Rv0687",0.78161312266993,1.36455473887396e-05
"400","Rv0690c",-1.17516002486077,8.17887118393129e-07
"151","Rv0691A",1.61052410511465,6.78356502740425e-08
"1633","Rv0691c",-0.648957364986584,0.000366602747247941
"361","Rv0692",1.74365114062804,6.58120916178756e-07
"1339","Rv0693",1.49221610074005,0.000108962121516547
"1221","Rv0694",0.456477160428578,6.06123947650289e-05
"2081","Rv0695",-0.29754240147378,0.00255479573590899
"1541","Rv0697",0.620360014113478,0.000271074399223428
"1478","Rv0698",-0.793617204385348,0.00018887933658325
"1403","Rv0699",-1.93002649141381,0.000136274075460772
"2324","Rv0701",-0.271644496120912,0.00625312252462034
"2385","Rv0705",0.246806441545701,0.00897208779973233
"2214","Rv0706",0.302395915247316,0.00417441331505534
"877","Rv0707",0.614518726405867,1.43226955098298e-05
"1423","Rv0708",0.45157002562572,0.000146639179597538
"1087","Rv0709",0.659621735996871,3.2807989066817e-05
"1466","Rv0711",0.444880322285514,0.000177930904741631
"2332","Rv0713",-0.44446267845866,0.00665205705500719
"1103","Rv0714",-0.763402821520291,3.5643549673203e-05
"713","Rv0715",-0.874752848662472,5.50054817127734e-06
"1666","Rv0716",-0.447243287031748,0.000435757112467971
"2667","Rv0718",-0.185912263192719,0.0254329025038034
"2764","Rv0722",-0.245432926832008,0.0400936582623675
"2685","Rv0723",-0.174104677898194,0.0278588419468275
"802","Rv0726c",0.735610172293479,9.60704016667418e-06
"1313","Rv0729",-1.15694163927355,9.68331786128722e-05
