"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","DE_index"
"Rv1210",-0.530908520877323,5.9343761331972,-6.99736894613664,5.07900577691241e-05,0.000139970045647629,1.26708531408941,"Rv1210",52
"Rv2964",0.955041102998524,4.16923800552857,6.99162357493849,5.1125782724516e-05,0.000140795329304465,1.58689205698057,"Rv2964",52
"Rv0852",1.02766743896754,4.22155588707733,6.98244362032807,5.16672274157488e-05,0.000141998619782879,1.6024856631309,"Rv0852",52
"Rv3836",-1.20091218549405,3.16585860782876,-6.98220056923852,5.16816474003887e-05,0.000141998619782879,1.89091198066722,"Rv3836",52
"Rv1636",0.603908241150502,7.53718126964052,6.98135675496478,5.17317440897876e-05,0.000141998619782879,1.04839601291008,"Rv1636",52
"Rv1694",-0.538869751050934,6.11405577620713,-6.9812957523338,5.17353678231286e-05,0.000141998619782879,1.21998570712331,"Rv1694",52
"Rv1980c",0.448039702262493,7.75442882431625,6.98112403758853,5.17455696607712e-05,0.000141998619782879,1.02880579689351,"Rv1980c",52
"Rv1602",-0.544689725269818,5.2630538189276,-6.97808009590437,5.19267788067765e-05,0.00014239525572508,1.37465423238068,"Rv1602",52
"Rv1707",0.699480319694491,6.93786682025647,6.97553597654206,5.20787628637935e-05,0.00014271124643621,1.09532740674442,"Rv1707",52
"Rv0598c",-0.628504386447426,6.04931283983776,-6.9707117312268,5.23682912685246e-05,0.000143403437937716,1.22049812345324,"Rv0598c",52
"RVnc0040",1.30488909001054,3.50190330297476,6.96115285491131,5.29471575092073e-05,0.000144768366373679,1.74875635767087,"RVnc0040",52
"Rv1490",-0.951613910201495,3.62207168423734,-6.96074300847634,5.29721321694072e-05,0.000144768366373679,1.7409905832235,"Rv1490",52
"Rv3792",-0.543802867454416,5.95619489450154,-6.96063713560627,5.2978585788565e-05,0.000144768366373679,1.22245518522044,"Rv3792",52
"Rv2956",-0.916787985047564,6.51036928871711,-6.94839896453698,5.37303768742357e-05,0.000146639179597538,1.13138413692623,"Rv2956",52
